plant_name, cell_fname,leaf_id,leaf_orientation
Astragalus_penduliflorus,3-06-700x-1-01,3.6,abaxial
Astragalus_penduliflorus,3-06-700x-1-02,3.6,abaxial
Astragalus_penduliflorus,3-06-700x-1-03,3.6,abaxial
Astragalus_penduliflorus,3-06-700x-1-04,3.6,abaxial
Astragalus_penduliflorus,3-06-700x-1-05,3.6,abaxial
Astragalus_penduliflorus,3-06-700x-2-01,3.6,adaxial
Astragalus_penduliflorus,3-06-700x-2-02,3.6,adaxial
Astragalus_penduliflorus,3-06-700x-2-03,3.6,adaxial
Astragalus_penduliflorus,3-06-700x-2-04,3.6,adaxial
Astragalus_penduliflorus,3-06-700x-2-05,3.6,adaxial
Ceratostigma_minus,3-07-400x-1-01,3.7,abaxial
Ceratostigma_minus,3-07-400x-1-02,3.7,abaxial
Ceratostigma_minus,3-07-400x-1-03,3.7,abaxial
Ceratostigma_minus,3-07-400x-1-04,3.7,abaxial
Ceratostigma_minus,3-07-400x-2-01,3.7,adaxial
Ceratostigma_minus,3-07-400x-2-02,3.7,adaxial
Ceratostigma_minus,3-07-400x-2-03,3.7,adaxial
Ceratostigma_minus,3-07-400x-2-04,3.7,adaxial
Rhus_potaninii,3-13-700x-1-01,3.13,abaxial
Rhus_potaninii,3-13-700x-1-02,3.13,abaxial
Rhus_potaninii,3-13-700x-1-03,3.13,abaxial
Rhus_potaninii,3-13-700x-1-04,3.13,abaxial
Rhus_potaninii,3-13-700x-1-05,3.13,abaxial
Rhus_potaninii,3-13-700x-1-06,3.13,abaxial
Rhus_potaninii,3-13-700x-2-01,3.13,adaxial
Rhus_potaninii,3-13-700x-2-02,3.13,adaxial
Rhus_potaninii,3-13-700x-2-03,3.13,adaxial
Rhus_potaninii,3-13-700x-2-04,3.13,adaxial
Rhus_potaninii,3-13-700x-2-05,3.13,adaxial
Rhus_potaninii,3-13-700x-2-06,3.13,adaxial
Rosa_mollis,3-15-700x-1-01,3.15,adaxial
Rosa_mollis,3-15-700x-1-02,3.15,adaxial
Rosa_mollis,3-15-700x-1-03,3.15,adaxial
Rosa_mollis,3-15-700x-1-04,3.15,adaxial
Rosa_mollis,3-15-700x-1-05,3.15,adaxial
Rosa_mollis,3-15-700x-2-01,3.15,abaxial
Rosa_mollis,3-15-700x-2-02,3.15,abaxial
Rosa_mollis,3-15-700x-2-03,3.15,abaxial
Rosa_mollis,3-15-700x-2-04,3.15,abaxial
Rosa_mollis,3-15-700x-2-05,3.15,abaxial
Persicaria_virginiana,4-01-700x-1-01,4.1,abaxial
Persicaria_virginiana,4-01-700x-1-02,4.1,abaxial
Persicaria_virginiana,4-01-700x-1-03,4.1,abaxial
Persicaria_virginiana,4-01-700x-1-04,4.1,abaxial
Persicaria_virginiana,4-01-700x-2-01,4.1,adaxial
Persicaria_virginiana,4-01-700x-2-02,4.1,adaxial
Persicaria_virginiana,4-01-700x-2-03,4.1,adaxial
Persicaria_virginiana,4-01-700x-2-04,4.1,adaxial
Persicaria_virginiana,4-01-700x-2-05,4.1,adaxial
Persicaria_virginiana,4-01-700x-2-06,4.1,adaxial
Polygonum_chinense,4-02-700x-1-01,4.2,abaxial
Polygonum_chinense,4-02-700x-1-02,4.2,abaxial
Polygonum_chinense,4-02-700x-1-03,4.2,abaxial
Polygonum_chinense,4-02-700x-1-04,4.2,abaxial
Polygonum_chinense,4-02-700x-1-05,4.2,abaxial
Polygonum_chinense,4-02-700x-2-01,4.2,adaxial
Polygonum_chinense,4-02-700x-2-02,4.2,adaxial
Polygonum_chinense,4-02-700x-2-03,4.2,adaxial
Polygonum_chinense,4-02-700x-2-04,4.2,adaxial
Polygonum_chinense,4-02-700x-2-05,4.2,adaxial
