,Unnamed: 0,cell_fname,nb_non_triangular_junctions,nb_total_junctions,non-triangular_junctions_csv_name,plant_name
0,0,3-07-400x-1-01,194,830,non-triangular_junctions_3-07-400x-1-01.csv,Ceratostigma_minus
1,1,3-07-400x-1-02,180,771,non-triangular_junctions_3-07-400x-1-02.csv,Ceratostigma_minus
2,2,3-07-400x-1-03,175,801,non-triangular_junctions_3-07-400x-1-03.csv,Ceratostigma_minus
3,3,3-07-400x-1-04,237,910,non-triangular_junctions_3-07-400x-1-04.csv,Ceratostigma_minus
4,4,3-07-400x-2-01,122,742,non-triangular_junctions_3-07-400x-2-01.csv,Ceratostigma_minus
5,5,3-07-400x-2-03,127,695,non-triangular_junctions_3-07-400x-2-03.csv,Ceratostigma_minus
6,6,3-07-400x-2-04,130,761,non-triangular_junctions_3-07-400x-2-04.csv,Ceratostigma_minus
7,7,3-15-700x-1-01,38,377,non-triangular_junctions_3-15-700x-1-01.csv,Rosa_mollis
8,8,3-15-700x-1-02,53,403,non-triangular_junctions_3-15-700x-1-02.csv,Rosa_mollis
9,9,3-15-700x-1-04,62,388,non-triangular_junctions_3-15-700x-1-04.csv,Rosa_mollis
10,10,3-15-700x-1-05,5,304,non-triangular_junctions_3-15-700x-1-05.csv,Rosa_mollis
11,11,4-01-700x-2-01,181,555,non-triangular_junctions_4-01-700x-2-01.csv,Persicaria_virginiana
12,12,4-01-700x-2-02,186,557,non-triangular_junctions_4-01-700x-2-02.csv,Persicaria_virginiana
13,13,4-01-700x-2-03,241,634,non-triangular_junctions_4-01-700x-2-03.csv,Persicaria_virginiana
14,14,4-01-700x-2-04,276,715,non-triangular_junctions_4-01-700x-2-04.csv,Persicaria_virginiana
15,15,4-01-700x-2-05,230,596,non-triangular_junctions_4-01-700x-2-05.csv,Persicaria_virginiana
16,16,4-01-700x-2-06,158,555,non-triangular_junctions_4-01-700x-2-06.csv,Persicaria_virginiana
17,17,4-02-700x-1-01,93,352,non-triangular_junctions_4-02-700x-1-01.csv,Polygonum_chinense
18,18,4-02-700x-1-02,93,363,non-triangular_junctions_4-02-700x-1-02.csv,Polygonum_chinense
19,19,4-02-700x-1-03,55,320,non-triangular_junctions_4-02-700x-1-03.csv,Polygonum_chinense
20,20,4-02-700x-1-04,73,292,non-triangular_junctions_4-02-700x-1-04.csv,Polygonum_chinense
21,21,4-02-700x-1-05,146,470,non-triangular_junctions_4-02-700x-1-05.csv,Polygonum_chinense
22,22,4-02-700x-2-01,74,338,non-triangular_junctions_4-02-700x-2-01.csv,Polygonum_chinense
23,23,4-02-700x-2-02,72,328,non-triangular_junctions_4-02-700x-2-02.csv,Polygonum_chinense
24,24,4-02-700x-2-03,84,373,non-triangular_junctions_4-02-700x-2-03.csv,Polygonum_chinense
25,25,4-02-700x-2-04,103,448,non-triangular_junctions_4-02-700x-2-04.csv,Polygonum_chinense
26,26,4-02-700x-2-05,110,440,non-triangular_junctions_4-02-700x-2-05.csv,Polygonum_chinense
27,27,4-15-400x-2-01,8,208,non-triangular_junctions_4-15-400x-2-01.csv,Paeonia_tenuifolia
28,28,4-15-400x-2-02,16,234,non-triangular_junctions_4-15-400x-2-02.csv,Paeonia_tenuifolia
29,29,4-15-400x-2-03,43,302,non-triangular_junctions_4-15-400x-2-03.csv,Paeonia_tenuifolia
30,30,4-15-400x-2-04,29,280,non-triangular_junctions_4-15-400x-2-04.csv,Paeonia_tenuifolia
31,31,4-17-400x-2-01,38,179,non-triangular_junctions_4-17-400x-2-01.csv,Aconitum_carmichaelii
32,32,4-17-400x-2-02,17,143,non-triangular_junctions_4-17-400x-2-02.csv,Aconitum_carmichaelii
33,33,4-17-400x-2-03,51,212,non-triangular_junctions_4-17-400x-2-03.csv,Aconitum_carmichaelii
34,34,5-20-700x-2-01,163,644,non-triangular_junctions_5-20-700x-2-01.csv,Succisella_inflexa
35,35,5-20-700x-2-02,167,675,non-triangular_junctions_5-20-700x-2-02.csv,Succisella_inflexa
36,36,5-20-700x-2-03,151,651,non-triangular_junctions_5-20-700x-2-03.csv,Succisella_inflexa
37,37,5-20-700x-2-04,230,776,non-triangular_junctions_5-20-700x-2-04.csv,Succisella_inflexa
38,38,5-20-700x-2-06,265,828,non-triangular_junctions_5-20-700x-2-06.csv,Succisella_inflexa
39,39,5-22-400x-1-01,51,465,non-triangular_junctions_5-22-400x-1-01.csv,Beta_vulgaris
40,40,5-22-400x-1-02,72,557,non-triangular_junctions_5-22-400x-1-02.csv,Beta_vulgaris
41,41,5-22-400x-1-03,55,518,non-triangular_junctions_5-22-400x-1-03.csv,Beta_vulgaris
42,42,5-22-400x-1-04,33,504,non-triangular_junctions_5-22-400x-1-04.csv,Beta_vulgaris
43,43,5-22-400x-1-05,51,463,non-triangular_junctions_5-22-400x-1-05.csv,Beta_vulgaris
44,44,5-22-400x-2-01,120,595,non-triangular_junctions_5-22-400x-2-01.csv,Beta_vulgaris
45,45,5-22-400x-2-02,91,605,non-triangular_junctions_5-22-400x-2-02.csv,Beta_vulgaris
46,46,5-22-400x-2-03,86,614,non-triangular_junctions_5-22-400x-2-03.csv,Beta_vulgaris
47,47,5-22-400x-2-04,103,632,non-triangular_junctions_5-22-400x-2-04.csv,Beta_vulgaris
48,48,5-22-400x-2-05,85,548,non-triangular_junctions_5-22-400x-2-05.csv,Beta_vulgaris
49,49,6-19-400x-1-01,129,671,non-triangular_junctions_6-19-400x-1-01.csv,Galium_rubioides
50,50,6-19-400x-1-02,48,408,non-triangular_junctions_6-19-400x-1-02.csv,Galium_rubioides
51,51,6-21-400x-2-01,25,205,non-triangular_junctions_6-21-400x-2-01.csv,Galium_odoratum
52,52,6-21-400x-2-02,72,400,non-triangular_junctions_6-21-400x-2-02.csv,Galium_odoratum
53,53,6-21-400x-2-03,62,366,non-triangular_junctions_6-21-400x-2-03.csv,Galium_odoratum
54,54,6-21-400x-2-04,43,353,non-triangular_junctions_6-21-400x-2-04.csv,Galium_odoratum
55,55,7-01-700x-t2-01,37,370,non-triangular_junctions_7-01-700x-t2-01.csv,Danae_racemosa
56,56,7-01-700x-t2-02,41,441,non-triangular_junctions_7-01-700x-t2-02.csv,Danae_racemosa
57,57,7-01-700x-t2-03,54,425,non-triangular_junctions_7-01-700x-t2-03.csv,Danae_racemosa
58,58,7-01-700x-t2-04,43,430,non-triangular_junctions_7-01-700x-t2-04.csv,Danae_racemosa
59,59,7-01-700x-t2-05,48,402,non-triangular_junctions_7-01-700x-t2-05.csv,Danae_racemosa
60,60,7-01-700x-t-01,6,232,non-triangular_junctions_7-01-700x-t-01.csv,Danae_racemosa
61,61,7-01-700x-t-02,16,232,non-triangular_junctions_7-01-700x-t-02.csv,Danae_racemosa
62,62,7-01-700x-t-03,22,333,non-triangular_junctions_7-01-700x-t-03.csv,Danae_racemosa
63,63,7-01-700x-t-04,14,257,non-triangular_junctions_7-01-700x-t-04.csv,Danae_racemosa
64,64,7-01-700x-t-05,24,276,non-triangular_junctions_7-01-700x-t-05.csv,Danae_racemosa
65,65,7-15-400x-1-01,26,324,non-triangular_junctions_7-15-400x-1-01.csv,Rohdea_japonica
66,66,7-15-400x-1-02,14,309,non-triangular_junctions_7-15-400x-1-02.csv,Rohdea_japonica
67,67,7-15-400x-1-03,20,295,non-triangular_junctions_7-15-400x-1-03.csv,Rohdea_japonica
68,68,7-15-400x-1-04,31,366,non-triangular_junctions_7-15-400x-1-04.csv,Rohdea_japonica
69,69,7-15-400x-1-05,31,364,non-triangular_junctions_7-15-400x-1-05.csv,Rohdea_japonica
70,70,7-15-400x-2-01,21,336,non-triangular_junctions_7-15-400x-2-01.csv,Rohdea_japonica
71,71,7-15-400x-2-02,14,290,non-triangular_junctions_7-15-400x-2-02.csv,Rohdea_japonica
72,72,7-15-400x-2-03,20,305,non-triangular_junctions_7-15-400x-2-03.csv,Rohdea_japonica
73,73,7-15-400x-2-04,26,259,non-triangular_junctions_7-15-400x-2-04.csv,Rohdea_japonica
74,74,7-15-400x-2-05,25,315,non-triangular_junctions_7-15-400x-2-05.csv,Rohdea_japonica
75,75,7-23-400x-2-01,19,113,non-triangular_junctions_7-23-400x-2-01.csv,Alstroemeria_aurea
76,76,7-23-400x-2-02,2,90,non-triangular_junctions_7-23-400x-2-02.csv,Alstroemeria_aurea
77,77,7-23-400x-2-03,24,212,non-triangular_junctions_7-23-400x-2-03.csv,Alstroemeria_aurea
78,78,7-23-400x-2-04,28,209,non-triangular_junctions_7-23-400x-2-04.csv,Alstroemeria_aurea
79,79,7-23-400x-2-05,12,97,non-triangular_junctions_7-23-400x-2-05.csv,Alstroemeria_aurea
80,80,7-24-400x-1-01,2,139,non-triangular_junctions_7-24-400x-1-01.csv,Hemerocallis_fulva
81,81,7-24-400x-1-02,2,146,non-triangular_junctions_7-24-400x-1-02.csv,Hemerocallis_fulva
82,82,7-24-400x-1-03,6,154,non-triangular_junctions_7-24-400x-1-03.csv,Hemerocallis_fulva
83,83,7-24-400x-1-04,8,175,non-triangular_junctions_7-24-400x-1-04.csv,Hemerocallis_fulva
84,84,7-24-400x-1-05,16,199,non-triangular_junctions_7-24-400x-1-05.csv,Hemerocallis_fulva
85,85,8-06-700x-2-01,41,395,non-triangular_junctions_8-06-700x-2-01.csv,Jasminum fruticans
86,86,8-06-700x-2-02,90,519,non-triangular_junctions_8-06-700x-2-02.csv,Jasminum fruticans
87,87,8-06-700x-2-03,59,460,non-triangular_junctions_8-06-700x-2-03.csv,Jasminum fruticans
88,88,8-06-700x-2-04,69,471,non-triangular_junctions_8-06-700x-2-04.csv,Jasminum fruticans
