,cell_fname,nb_cells,centroids_fname
0,3-07-400x-1-01,240,cells_centroid_3-07-400x-1-01.csv
1,3-07-400x-1-02,224,cells_centroid_3-07-400x-1-02.csv
2,3-07-400x-1-03,259,cells_centroid_3-07-400x-1-03.csv
3,3-07-400x-1-04,216,cells_centroid_3-07-400x-1-04.csv
4,3-07-400x-2-01,252,cells_centroid_3-07-400x-2-01.csv
5,3-07-400x-2-03,316,cells_centroid_3-07-400x-2-03.csv
6,3-07-400x-2-04,285,cells_centroid_3-07-400x-2-04.csv
7,3-15-700x-1-01,231,cells_centroid_3-15-700x-1-01.csv
8,3-15-700x-1-02,238,cells_centroid_3-15-700x-1-02.csv
9,3-15-700x-1-04,225,cells_centroid_3-15-700x-1-04.csv
10,3-15-700x-1-05,228,cells_centroid_3-15-700x-1-05.csv
11,4-01-700x-2-01,110,cells_centroid_4-01-700x-2-01.csv
12,4-01-700x-2-02,117,cells_centroid_4-01-700x-2-02.csv
13,4-01-700x-2-03,129,cells_centroid_4-01-700x-2-03.csv
14,4-01-700x-2-04,117,cells_centroid_4-01-700x-2-04.csv
15,4-01-700x-2-05,120,cells_centroid_4-01-700x-2-05.csv
16,4-01-700x-2-06,125,cells_centroid_4-01-700x-2-06.csv
17,4-02-700x-1-01,114,cells_centroid_4-02-700x-1-01.csv
18,4-02-700x-1-02,128,cells_centroid_4-02-700x-1-02.csv
19,4-02-700x-1-03,125,cells_centroid_4-02-700x-1-03.csv
20,4-02-700x-1-04,115,cells_centroid_4-02-700x-1-04.csv
21,4-02-700x-1-05,122,cells_centroid_4-02-700x-1-05.csv
22,4-02-700x-2-01,133,cells_centroid_4-02-700x-2-01.csv
23,4-02-700x-2-02,134,cells_centroid_4-02-700x-2-02.csv
24,4-02-700x-2-03,142,cells_centroid_4-02-700x-2-03.csv
25,4-02-700x-2-04,141,cells_centroid_4-02-700x-2-04.csv
26,4-02-700x-2-05,129,cells_centroid_4-02-700x-2-05.csv
27,5-22-400x-1-01,245,cells_centroid_5-22-400x-1-01.csv
28,5-22-400x-1-02,239,cells_centroid_5-22-400x-1-02.csv
29,5-22-400x-1-03,257,cells_centroid_5-22-400x-1-03.csv
30,5-22-400x-1-04,241,cells_centroid_5-22-400x-1-04.csv
31,5-22-400x-1-05,231,cells_centroid_5-22-400x-1-05.csv
32,5-22-400x-2-01,254,cells_centroid_5-22-400x-2-01.csv
33,5-22-400x-2-02,257,cells_centroid_5-22-400x-2-02.csv
34,5-22-400x-2-03,249,cells_centroid_5-22-400x-2-03.csv
35,5-22-400x-2-04,225,cells_centroid_5-22-400x-2-04.csv
36,5-22-400x-2-05,237,cells_centroid_5-22-400x-2-05.csv
37,4-15-400x-2-01,135,cells_centroid_4-15-400x-2-01.csv
38,4-15-400x-2-02,136,cells_centroid_4-15-400x-2-02.csv
39,4-15-400x-2-03,82,cells_centroid_4-15-400x-2-03.csv
40,4-15-400x-2-04,129,cells_centroid_4-15-400x-2-04.csv
41,4-17-400x-2-01,88,cells_centroid_4-17-400x-2-01.csv
42,4-17-400x-2-02,85,cells_centroid_4-17-400x-2-02.csv
43,4-17-400x-2-03,85,cells_centroid_4-17-400x-2-03.csv
44,6-19-400x-1-01,147,cells_centroid_6-19-400x-1-01.csv
45,6-19-400x-1-02,118,cells_centroid_6-19-400x-1-02.csv
46,6-21-400x-2-01,105,cells_centroid_6-21-400x-2-01.csv
47,6-21-400x-2-02,104,cells_centroid_6-21-400x-2-02.csv
48,6-21-400x-2-03,89,cells_centroid_6-21-400x-2-03.csv
49,6-21-400x-2-04,108,cells_centroid_6-21-400x-2-04.csv
50,8-06-700x-2-01,110,cells_centroid_8-06-700x-2-01.csv
51,8-06-700x-2-02,118,cells_centroid_8-06-700x-2-02.csv
52,8-06-700x-2-03,147,cells_centroid_8-06-700x-2-03.csv
53,8-06-700x-2-04,133,cells_centroid_8-06-700x-2-04.csv
54,5-20-700x-2-01,199,cells_centroid_5-20-700x-2-01.csv
55,5-20-700x-2-02,208,cells_centroid_5-20-700x-2-02.csv
56,5-20-700x-2-03,200,cells_centroid_5-20-700x-2-03.csv
57,5-20-700x-2-04,186,cells_centroid_5-20-700x-2-04.csv
58,5-20-700x-2-06,172,cells_centroid_5-20-700x-2-06.csv
59,7-01-700x-t2-01,138,cells_centroid_7-01-700x-t2-01.csv
60,7-01-700x-t2-02,120,cells_centroid_7-01-700x-t2-02.csv
61,7-01-700x-t2-03,150,cells_centroid_7-01-700x-t2-03.csv
62,7-01-700x-t2-04,142,cells_centroid_7-01-700x-t2-04.csv
63,7-01-700x-t2-05,138,cells_centroid_7-01-700x-t2-05.csv
64,7-01-700x-t-01,103,cells_centroid_7-01-700x-t-01.csv
65,7-01-700x-t-02,86,cells_centroid_7-01-700x-t-02.csv
66,7-01-700x-t-03,92,cells_centroid_7-01-700x-t-03.csv
67,7-01-700x-t-04,83,cells_centroid_7-01-700x-t-04.csv
68,7-01-700x-t-05,100,cells_centroid_7-01-700x-t-05.csv
69,7-15-400x-1-01,133,cells_centroid_7-15-400x-1-01.csv
70,7-15-400x-1-02,133,cells_centroid_7-15-400x-1-02.csv
71,7-15-400x-1-03,141,cells_centroid_7-15-400x-1-03.csv
72,7-15-400x-1-04,139,cells_centroid_7-15-400x-1-04.csv
73,7-15-400x-1-05,138,cells_centroid_7-15-400x-1-05.csv
74,7-15-400x-2-01,123,cells_centroid_7-15-400x-2-01.csv
75,7-15-400x-2-02,129,cells_centroid_7-15-400x-2-02.csv
76,7-15-400x-2-03,125,cells_centroid_7-15-400x-2-03.csv
77,7-15-400x-2-04,130,cells_centroid_7-15-400x-2-04.csv
78,7-15-400x-2-05,119,cells_centroid_7-15-400x-2-05.csv
79,7-23-400x-2-01,39,cells_centroid_7-23-400x-2-01.csv
80,7-23-400x-2-02,37,cells_centroid_7-23-400x-2-02.csv
81,7-23-400x-2-03,51,cells_centroid_7-23-400x-2-03.csv
82,7-23-400x-2-04,44,cells_centroid_7-23-400x-2-04.csv
83,7-23-400x-2-05,38,cells_centroid_7-23-400x-2-05.csv
84,7-24-400x-1-01,112,cells_centroid_7-24-400x-1-01.csv
85,7-24-400x-1-02,109,cells_centroid_7-24-400x-1-02.csv
86,7-24-400x-1-03,118,cells_centroid_7-24-400x-1-03.csv
87,7-24-400x-1-04,124,cells_centroid_7-24-400x-1-04.csv
88,7-24-400x-1-05,110,cells_centroid_7-24-400x-1-05.csv
