,axis-0,axis-1
0,38.0,842.0
1,44.0,836.0
2,98.0,46.0
3,107.0,50.0
4,133.0,887.0
5,137.0,894.0
6,286.0,407.0
7,288.0,409.0
8,561.0,338.0
9,563.0,341.0
10,610.0,445.0
11,613.0,435.0
12,613.0,440.0
13,713.0,216.0
14,716.0,219.0
15,734.0,1572.0
16,735.0,1567.0
17,739.0,1559.5
18,740.0,1562.5
19,740.0,1566.5
20,795.0,1477.5
21,797.0,1481.5
22,798.0,1490.5
23,842.0,1454.0
24,849.0,1452.0
25,860.0,1439.5
26,866.6,1444.8
27,872.0,1448.0
28,903.0,1353.0
29,906.0,1347.0
30,909.0,1357.0
31,914.0,414.5
32,915.5,405.5
33,916.0,1354.5
34,952.0,1225.0
35,960.0,1228.0
36,965.0,1233.0
37,996.0,1177.0
38,996.0,1272.5
39,998.0,1228.0
40,1000.0,1267.5
41,1000.0,1273.0
42,1001.0,1231.0
43,1002.0,1178.5
44,1012.0,1176.0
45,1016.0,1167.0
46,1016.0,1172.0
47,1048.0,1102.0
48,1048.0,1106.0
49,1059.0,1088.5
50,1060.0,1082.5
51,1086.5,1067.5
52,1090.0,1069.0
53,1097.0,1076.5
54,1102.0,21.0
55,1104.0,1071.0
56,1104.0,1393.0
57,1105.0,16.5
58,1110.0,1399.0
59,1112.0,12.0
60,1172.0,948.0
61,1175.0,951.0
